Nom complet,Ticker,Type
Garmin,GRMN,Action
Gartner,IT,Action
Gen Digital,GEN,Action
Generac,GNRC,Action
General Dynamics,GD,Action
General Mills,GIS,Action
General Motors,GM,Action
Genuine Parts Company,GPC,Action
Gilead Sciences,GILD,Action
Global Payments,GPN,Action
Globe Life,GL,Action
GoDaddy,GDDY,Action
Goldman Sachs,GS,Action
HCA Healthcare,HCA,Action
HP Inc.,HPQ,Action
Halliburton,HAL,Action
Hartford (The),HIG,Action
Hasbro,HAS,Action
Healthpeak Properties,DOC,Action
Henry Schein,HSIC,Action
Hershey Company (The),HSY,Action
Hess Corporation,HES,Action
Hewlett Packard Enterprise,HPE,Action
Hilton Worldwide,HLT,Action
Hologic,HOLX,Action
Home Depot (The),HD,Action
Honeywell,HON,Action
Hormel Foods,HRL,Action
Host Hotels & Resorts,HST,Action
Howmet Aerospace,HWM,Action
Hubbell Incorporated,HUBB,Action
Humana,HUM,Action
Huntington Bancshares,HBAN,Action
Huntington Ingalls Industries,HII,Action
IBM,IBM,Action
IDEX Corporation,IEX,Action
IQVIA,IQV,Action
Idexx Laboratories,IDXX,Action
Illinois Tool Works,ITW,Action
Incyte,INCY,Action
Ingersoll Rand,IR,Action
Insulet Corporation,PODD,Action
Intel,INTC,Action
Intercontinental Exchange,ICE,Action
International Flavors & Fragrances,IFF,Action
International Paper,IP,Action
Interpublic Group of Companies (The),IPG,Action
Intuit,INTU,Action
Intuitive Surgical,ISRG,Action
Invesco,IVZ,Action
Invitation Homes,INVH,Action
Iron Mountain,IRM,Action
J.B. Hunt,JBHT,Action
J.M. Smucker Company (The),SJM,Action
JPMorgan Chase,JPM,Action
Jabil,JBL,Action
Jack Henry & Associates,JKHY,Action
Jacobs Solutions,J,Action
Johnson & Johnson,JNJ,Action
Johnson Controls,JCI,Action
KKR & Co.,KKR,Action
KLA Corporation,KLAC,Action
Kellanova,K,Action
Kenvue,KVUE,Action
Keurig Dr Pepper,KDP,Action
KeyCorp,KEY,Action
Keysight Technologies,KEYS,Action
Kimberly-Clark,KMB,Action
Kimco Realty,KIM,Action
Kinder Morgan,KMI,Action
Kraft Heinz,KHC,Action
Kroger,KR,Action
L3Harris,LHX,Action
LKQ Corporation,LKQ,Action
Labcorp,LH,Action
Lam Research,LRCX,Action
Lamb Weston,LW,Action
Las Vegas Sands,LVS,Action
Leidos,LDOS,Action
Lennar,LEN,Action
Lennox International,LII,Action
Lilly (Eli),LLY,Action
Linde plc,LIN,Action
Litecoin,LTC-USD,Crypto
Live Nation Entertainment,LYV,Action
Lockheed Martin,LMT,Action
Loews Corporation,L,Action
Lowe's,LOW,Action
Lululemon Athletica,LULU,Action
LyondellBasell,LYB,Action
M&T Bank,MTB,Action
MGM Resorts,MGM,Action
MSCI Inc.,MSCI,Action
Marathon Petroleum,MPC,Action
MarketAxess,MKTX,Action
Marriott International,MAR,Action
Marsh McLennan,MMC,Action
Martin Marietta Materials,MLM,Action
Masco,MAS,Action
Mastercard,MA,Action
Match Group,MTCH,Action
McCormick & Company,MKC,Action
McDonald's,MCD,Action
McKesson Corporation,MCK,Action
Medtronic,MDT,Action
Merck & Co.,MRK,Action
MetLife,MET,Action
Meta Platforms,META,Action
Mettler Toledo,MTD,Action
Microchip Technology,MCHP,Action
Micron Technology,MU,Action
Microsoft,MSFT,Action
Mid-America Apartment Communities,MAA,Action
Moderna,MRNA,Action
Mohawk Industries,MHK,Action
Molina Healthcare,MOH,Action
Molson Coors Beverage Company,TAP,Action
Mondelez International,MDLZ,Action
Monolithic Power Systems,MPWR,Action
Monster Beverage,MNST,Action
Moody's Corporation,MCO,Action
Morgan Stanley,MS,Action
Mosaic Company (The),MOS,Action
Motorola Solutions,MSI,Action
NRG Energy,NRG,Action
"NVR, Inc.",NVR,Action
NXP Semiconductors,NXPI,Action
"Nasdaq, Inc.",NDAQ,Action
NetApp,NTAP,Action
Netflix,NFLX,Action
Newmont,NEM,Action
News Corp (Class A),NWSA,Action
News Corp (Class B),NWS,Action
NextEra Energy,NEE,Action
NiSource,NI,Action
"Nike, Inc.",NKE,Action
Nordson Corporation,NDSN,Action
Norfolk Southern,NSC,Action
Northern Trust,NTRS,Action
Northrop Grumman,NOC,Action
Norwegian Cruise Line Holdings,NCLH,Action
Nucor,NUE,Action
Nvidia,NVDA,Action
ON Semiconductor,ON,Action
Occidental Petroleum,OXY,Action
Old Dominion,ODFL,Action
Omnicom Group,OMC,Action
Oneok,OKE,Action
Oracle Corporation,ORCL,Action
Otis Worldwide,OTIS,Action
O’Reilly Automotive,ORLY,Action
PG&E Corporation,PCG,Action
PNC Financial Services,PNC,Action
PPG Industries,PPG,Action
PPL Corporation,PPL,Action
PTC Inc.,PTC,Action
Paccar,PCAR,Action
Packaging Corporation of America,PKG,Action
Palantir Technologies,PLTR,Action
Palo Alto Networks,PANW,Action
Paramount Global,PARA,Action
Parker Hannifin,PH,Action
PayPal,PYPL,Action
Paychex,PAYX,Action
Paycom,PAYC,Action
Pentair,PNR,Action
PepsiCo,PEP,Action
Pfizer,PFE,Action
Philip Morris International,PM,Action
Phillips 66,PSX,Action
Pinnacle West Capital,PNW,Action
Polkadot,DOT-USD,Crypto
Polygon,MATIC-USD,Crypto
Pool Corporation,POOL,Action
Principal Financial Group,PFG,Action
Procter & Gamble,PG,Action
Progressive Corporation,PGR,Action
Prologis,PLD,Action
Prudential Financial,PRU,Action
Public Service Enterprise Group,PEG,Action
Public Storage,PSA,Action
PulteGroup,PHM,Action
Qualcomm,QCOM,Action
Quanta Services,PWR,Action
